vowels,name,link,subtitle,blurb,AskDmitri
AIUEO,David Huddleston,https://en.wikipedia.org/wiki/David_Huddleston,"Actor, <i>The Big Lebowski</I>","He was the titular Big Lebowski as well as the mayor in <i>Blazing Saddles</i> (""Not only was that authentic frontied gibberish..."")—two small but cherished American film roles. ", AIUEO Francis Hutcheson 97 David Huddleston 92 Mark di Suvero 92 David Guterson 75 Rainulf Drengot 74
AIUOE,Patti LuPone,https://en.wikipedia.org/wiki/Patti_LuPone,"Actress & multiple Tony winner (<i>Evita</I>, <i>Sweeney Todd/i>)","PATTI LUPONE won the 1979 Tony Award for Best Actress in a Musical for <i>Evita</i> the same year LEN CARIOU won Best Actor for <i>Sweeney Todd</i>. She also later won for a <i>Sweeney Todd</i> revivial, and, in 2020, performed LADIES WHO LUNCH in a Broadway revival of <i>Company</i>.", AIUOE Patti LuPone 100 Marius Jonker 80 Patrick Cutrone 78 Franciscus Donders 77 David Burrowes 76
AOEIU,Flat-Top the Brick Truck,https://starlightexpressmusical.fandom.com/wiki/Flat-Top,<i>Starlight Express</i> train,"Two new discoveries this time around: FLAT-TOP THE BRICK TRUCK, a character from <i>Starlight Express</i>, takes the crown over Dutch Latin scholar MACROPEDIUS, impressive though the may be. No, Flat-Top is technically not human—but for the very near ""Perfect 5"" (five words, each with one vowel) we accommodate.", AOEIU Adolf Fredrik Munck 72 Arnold Eidus 66 Macropedius 63 Jakob Sveistrup 58 Jacob Metius 56 + Flat-Top the Brick Truck
AOEUI,Jack Joseph Puig,https://en.wikipedia.org/wiki/Jack_Joseph_Puig,Music producer,"Despite his dozens of producing credits, it is his work on Jellyfish's debut album that gets JACK JOSEPH PUIG the slot.", AOEUI Alphonse Juin 96 Jack Joseph Puig 93 Aldo Bertuzzi 76 Franjo Greguric 73 Marco Ferruzzi 69
AOIEU,Françoise Dürr,https://en.wikipedia.org/wiki/Françoise_Dürr,"Tennis French Open winner, 1967",Being the last French woman to win the French Open until Mary Pierce in 2000 solidifies FRANCOISE DURR's supremacy over this slot., AOIEU Francoise Durr 98 Francoiz Breut 56 Andoni Cedrun 54 Caroline Rush 37 Alois Delug 36
AOIUE,Carson Smith McCullers,https://en.wikipedia.org/wiki/Carson_McCullers,"Author, <i>The Heart Is a Lonely Hunter</i>","At 20 letters, the longest well-known supervocalic person.", AOIUE Francois Rude 93 Marco Pique 91 Alois Brunner 90 Francois Cluzet 90 Francois Furet 90
AOUEI,Paco Underhill,https://en.wikipedia.org/wiki/Paco_Underhill,"Consultant & author, <i>Why We Buy</i>",PACO UNDERHILL's <i>Why We Buy</i> is a seminal work in the psychology of the American consumer., AOUEI Carlos Quentin 91 (MLB) Cao Xueqin 87 Carlos Uresti 81 Anton Kuerti 80 Adolf Luderitz 74 Jacob Summerlin
AOUIE,Arlo Guthrie,https://en.wikipedia.org/wiki/Arlo_Guthrie,"Singer, <i>Alice's Restaurant</i>",It will take more than <i>Rugrats</i> voice artist KATH SOUCIE to knock the beloved ARLO GUTHRIE off his AOUIE crown., AOUIE Arlo Guthrie 99 Kath Soucie 98 La Fouine 95 Dan Cloutier 91 Jackson Guice 91
AUEIO,Samuel Wilson,https://en.wikipedia.org/wiki/Samuel_Wilson,"US meatpacker; ""Uncle Sam""","The supposed model for ""Uncle Sam"" is one of the more ubiquitous visual figures in US history, though Tour de France winner LAURENT FIGNON and physicist ARTHUR EDDINGTON are contenders.", AUEIO Marcus Ericsson 99 Arthur Eddington 98 Laurent Fignon 96 Paul Pelliot 93 Jacques Villon 92
AUEOI,Claude Bolling,https://en.wikipedia.org/wiki/Claude_Bolling,French pianist,"The piano and flute compositions and prolific scoring career of CLAUDE BOLLING earn him the spot over SAMUEL GOLDFISH—an early anglicization of STUDIO HEAD Samuel Goldwyn's name, which was originally Szmuel Gelbfisz.", AUEOI Marcus Trescothick 98 Paul Preboist 90 Claude Thornhill 86 Lauren Collins 84 Raul Leoni 84
AUIEO,Astrud Gilberto,https://en.wikipedia.org/wiki/Astrud_Gilberto,"Brazilian singer, ""Girl from Ipanema""","A silky delivery and résumé of bossa nova classics, leaves no doubt as to the Favourite for the AUIEO slot.", AUIEO Markus Winkelhock 98 Maurice Strong 91 Maurice Horn 89 Astrud Gilberto 88 Maurice Dobb 87
AUIOE,Austin Powers,https://en.wikipedia.org/wiki/Austin_Powers_(character),International Man of Mystery,"The shagadelic spy leads the way for the AUIOE slot, but the Scrabble-heavy JACQUIZZ RODGERS makes the All-Time Name list.", AUIOE Marcus Brigstocke 92 Jacquizz Rodgers 90 Mauri Rose 90 Kalu Rinpoche 85 Austin Roberts 84
AUOEI,Paul O'Neill,https://en.wikipedia.org/wiki/Paul_O%27Neill_(baseball),Yankees/Reds right fielder,"Five World Series rings would clinch baseball player PAUL O'NEILL for the top slot over the eponymous Treasury Secretary. But mostly because you can add an I, and rearrange to form a manager he played for. (Hint: also a Yankee great, but managed him on the Reds.)", AUOEI Jakub Kornfeil 97 Paul O'Neill 92 Baruch Goldstein 90 Raul Mondesi 88 Arthur Rothstein 87
AUOIE,Paul Scofield,https://en.wikipedia.org/wiki/Paul_Scofield,"Best Actor 1968, <i>A Man for All Seasons</i>","A winner of the prestigious ""Triple Crown of Acting"" (competitive Oscar, Tony, and Emmy for performing), PAUL SCOFIELD was primarily known as a Shakespearean stage actor. ", AUOIE Paul Scofield 98 Arthur Blomfield 96 Paul Horbiger 96 Paul Poiret 94 Paul Collier 88
EAIOU,Len Cariou,https://en.wikipedia.org/wiki/Len_Cariou,"1979 Best Actor Tony, <i>Sweeney Todd</i>","1979 was quite the year for supervocalics on Broadway, with both LEN CARIOU and PATTI LUPONE winning acting awards. And a certain supervocalic musical was already on its way to becoming the longest-running musical of all time. What is it?", EAIOU Len Cariou 97 Screaming Lord Sutch 96 Erdal Inonu 87 Heathcliff Slocumb 73 Edward Riou 72
EAIUO,Benazir Bhutto,https://en.wikipedia.org/wiki/Benazir_Bhutto,Former Pakistani prime minister,"One of two female former heads of state on our list, BENAZIR BHUTTO was ousted in a military coup and met a tragic end.", EAIUO Benazir Bhutto 100 Benjamin McCulloch 94 Efraim Zuroff 90 Benjamin Luxon 83 Benjamin H. D. Buchloh 72
EAOIU,Epaphroditus,https://en.wikipedia.org/wiki/Epaphroditus,"Early Christian figure, Paul's messenger","A New Testament figure considered a saint in Eatern and Western Christian traditions, EPAPHRODITUS may have been the arbiter called upon by Paul to intervene between EUODIA and Syntyche, in their dispute clearly about vowel usage.", EAOIU Deacon Chiu 53 Petar Omcikus 50 Stefan Coidum 40 Herman Tollius 36 Fernando Picun 34
EAOUI,Jehan Cousin,https://en.wikipedia.org/wiki/Jean_Cousin_(navigator),French Normand navigator,"JEHAN COUSIN purportedly sailed to Brazil in 1488, 4 years before Columbus set sail. One of his captains left in anger, subsequently sailing with Columbus.

Also contending is JEAN LOUIS with 14 Oscar noms and a win for costume design, who designed Marilyn Monroe's ""Happy Birthday, Mr. President"" dress. They don't get much more ""notable"" than that.", EAOUI Jean Moulin 96 Fernando Chui 86 Jean Louis 84 Sean McLoughlin 80 Chesa Boudin 76
EAUIO,Earl Hutchinson,https://en.wikipedia.org/wiki/Earl_Ofari_Hutchinson,American social commentator,"The well-known African American journalist generally uses his middle name, Ofari, but even without that tops former Pittsburgh Pirates GM NEAL HUNTINGTON.", EAUIO Greg Aquino (MLB) Ben Matulino 87 Neal Huntington 86 Edward Hutchinson 78 Beau Mirchoff 74 (actor) Jean Guitton 73 Renaud Dion (Fr cyclist) Erma Duricko (US Theater Dir)
EAUOI,Bela Lugosi,https://en.wikipedia.org/wiki/Bela_Lugosi,Hungarian born horror actor,"Born Béla Ferenc Dezső Blaskó, he was a horror mainstay, but often played second billing to Boris Karloff, to his chagrin.", EAUOI Bela Lugosi 100 Jenna Ushkowitz 94 Les AuCoin 91 Erastus Corning 89 Erastus Corning 2nd 88
EIAOU,Neil Mallon Bush,https://en.wikipedia.org/wiki/Neil_Bush,"US businessman, son of Pres. George HW Bush","Edging out New Christy Minstrels singer KEITH BARBOUR. Lebanese President ÉMIL LAHOUD also gets a mention, though his name is more commonly spelled ÉMILE."," EIAOU Eric Balfour 90 Wei Zhaodu 82 Ferdinand Mount 81 Jessica Stroup 81 Levi Casboult 76 Erica Chong Shuch, Neil Mallon Bush, Ken Chiampou (John & Ken Show), Edith Pattou (YA author), Meni Mazouz (Isr AG)"
EIAUO,Neil Cavuto,https://en.wikipedia.org/wiki/Neil_Cavuto,"TV personality, Fox News","If you live in THE BIG OL' USA, NEIL CAVUTO has been on your TV daily since 1996. At least he once stood up to President Trump on something, so that's something positive we can say about this Fox News anchor. ", EIAUO Felix Hausdorff 94 Bettina Fulco 85 Erik Paulson 84 Neil Cavuto 83 Kevin McNaughton 80
EIOAU,Keith Godchaux,https://en.wikipedia.org/wiki/Keith_Godchaux,Grateful Dead keyboardist and RnR Hall of Fame inductee,"Posthumous Rock and Roll Hall of Fame inductee, 1994.", EIOAU Keith Godchaux 94 Edwin Montagu 81 Sebino Plaku 81 Deiotarus 74 Elliot Paul 74
EIOUA,Keith Douglas,https://en.wikipedia.org/wiki/Keith_Douglas,UK poet,Killed during invasion of Normandy., EIOUA Kenjiro Tsuda 89 Keith Douglas 84 Denis Coughlan 81 Kenji Nomura 81 Eric Douglas 79
EIUAO,Erik Gustafsson,"https://en.wikipedia.org/wiki/Erik_Gustafsson_(ice_hockey,_born_1992)",NHL player,"Clearly this slot could use some new discoveries, but the 4-year NHL hockey pro must do for now.", EIUAO Henrik Gustafsson 85 Denis Glushakov 80 Erik Gudbranson 77 Erik Hurtado 71 Sverrir Gudnason 71
EIUOA,Edith Tudor-Hart,https://en.wikipedia.org/wiki/Edith_Tudor-Hart,Austrian-British photographer and spy,EDITH TUDOR-HART was a photographer who studied with WALTER GROPIUS and became a Soviet spy. Never trust an Austrian-British photographer on the continent between two World Wars., EIUOA Eric Butorac 97 Mei Quong Tart 68 Sergiu Toma 58 (Judo) Edith Tudor-Hart 56 (Spy) Felix Ulloa 48
EOAIU,Leonard Whitcup,https://www.nytimes.com/1979/04/10/archives/leonard-whitcup-75-lyricist-composer-of-i-am-an-american.html,"US composer, wrote for Perry Como","No disrespect to Mr. Whitcup, but this slot was not an easy fill.", EOAIU Georg Calixtus 59 Georg Sabinus 45 Kjell Oscarius 43 Bengt Oscarius 41 Devon Martinus 40
EOAUI,Leonard Susskind,https://en.wikipedia.org/wiki/Leonard_Susskind,US physicist,One of the fathers of string theory., EOAUI Leonard Susskind 93 Eoghan Quigg 81 Leo Rautins 81 Elonka Dunin 75 Eto Nabuli 74
EOIAU,Leonid Kravchuk,https://en.wikipedia.org/wiki/Leonid_Kravchuk,First president of independent Ukraine,One of many supervocalic heads of state on our list. One of two from Ukraine., EOIAU Leonid Kravchuk 95 Veronica Hurst 65 Eroni Sau 61 Georgia Ku 57 Nepotianus 52
EOIUA,Leonid Kuchma,https://en.wikipedia.org/wiki/Leonid_Kuchma,Second president of independent Ukraine,Second back to back Ukrainian president. The pattern would not continue from here., EOIUA Leonid Kuchma 99 Kengo Kimura 83 Benoit Puga 80 Benoit Jutras 74 Keston Hiura 60
EOUAI,Greg Louganis,https://en.wikipedia.org/wiki/Greg_Louganis,"US diver, Olympic gold medalist",No contenders with the gold medalist in the popularity department., EOUAI Greg Louganis 96 Veljko Bulajic 88 Enzo Stuarti 74 Ben Fountain 71 Edouard Fritch 71
EOUIA,Fred Louis Wham,https://en.wikipedia.org/wiki/Fred_Louis_Wham,US district judge,We otherwise would not be including a regional judicial official (appointed by Calvin Cooldge)—but the name. How to account for it? Perhaps George Michael and Andrew Ridgeley were inspired by one of his judicial decisions? Could have been. We may never know.," EOUIA Hector Guimard 96 Elton Julian 90 Leon Sullivan 85 Hector Chumpitaz 84 Brendon Julian 70 Fred Louis Wham - US federal judge, Nelson Sullivan (early NY 80s videographer), ""Vernon Sullivan"" pseudonym"
EUAIO,Deucalion,https://en.wikipedia.org/wiki/Deucalion,"Greek mythical figure, son of Prometheus","While his father stole some fire he shouldn't have, DEUCALION had a daughter named Pandora, making him - the father of streaming music? Or something. We're working on it.", EUAIO Edmund Campion 96 Steuart Wilson 86 Geuvanio 78 Tequan Richmond 78 Ehud Shapiro 77
EUAOI,Beulah Bondi,https://en.wikipedia.org/wiki/Beulah_Bondi,"US actress, <i>It's a Wonderful Life</i>","The Oscar-nominated, Emmy-winning actress actually played Jimmy Stewart's mother in four—count 'em: <b>four</b>—movies. Quite a fortuitous niche, considering Stewart's wholesome image.", EUAOI Beulah Bondi 91 Keturah Orji 80 Edmund Arrowsmith 69 DeJuan Collins 62 Edmund Zagorski 61
EUIAO,Edmund Richardson,http://law2.umkc.edu/faculty/projects/ftrials/haywood/HAY_BRIC.HTM,"US attorney, Clarence Darrow associate","Here we refer to Edmund Richardson the attorney, not the plantation owner. From one of his summations: ""Which would you rather believe, this man on the stand wearing his cheap bravado and putting obloquy upon those who are innocent, or this husband and this father, an exemplary citizen all of his life?"" Good stuff.", EUIAO Greg Puciato 90 Lev Kulidzhanov 77 Fred Ruiz Castro 69 Tetsuji Kato 68 Megumi Sato 54
EUIOA,Greg Gugliotta,https://www.imdb.com/name/nm0346599/,US TV producer,"Maybe he'll win an Emmy or something and get this slot off the schneid. Which is apparently an uncapitalized acceptable dictionary entry for ""losing streak"", derived from German card game idioms about tailors (German: Schneider). Just the etymological diversion his slot needed.", EUIOA Megumi Toda 41 Jesus Cintora 36 Fergus Riordan 31 Pleuni Mohlmann 21 Megumi Honda 13
EUOAI,Ferguson Darling,https://en.wikipedia.org/wiki/Clarissa_Explains_It_All,Title character's brother in <i>Clarissa Explains It All</i>,"The brother of Clarissa Darling may not seem slot-worthy, but consider that the previous ""winner"", Helmut Nodari, eked out one solitary (1961) IMDb listing. The EUOAI pattern was not conducive to names, apparently, with very few FESTUSes or EDMUNDs fitting the bill. Sometimes only a Helmut will fit.", EUOAI Cheung Po Tsai 76 Tetsu Komai 76 Melus of Bari 72 Meg Burton Cahill 38
EUOIA,Eudocia,https://en.wikipedia.org/wiki/Aelia_Eudocia,Byzantine Empress and Christian Saint,"Regrettably, we retire the previous slot-holder SEQUOIA, creator of the written Cherokee alphabet, since his name, ᏎᏉᏯ, was transliterated it as ""Sequoyah"" in English. The ""Sequoia"" spelling came later when trees and other genuses were named. We welcome Byzantine Empress and Christian Saint EUDOCIA.", EUOIA Euforia 94 Etsuko Mita 80 Deng Zhuoxiang 79 He Guoqiang 74 Jesus Molina 62
IAEOU,Michael Okwu,https://en.wikipedia.org/wiki/Michael_Okwu,"US news correspondent, MSNBC/CNN","Okwu has to get the blurb, so we can cite his legendary on-air observation: ""They're watching something that will obviously never be repeated again: Michael Jackson will only die once."" You can see this at 6:23 in <a href=""http://www.cc.com/video-clips/8mdqxe/the-daily-show-with-jon-stewart-the-rippy-awards-for-outstanding-achievement-in-obitutainment---crypts"">this <i>Daily Show</i> ""Rippy Awards"" clip</a>. Tony-winner <b>Michael Gough</b>—Alfred in all four of the 1989–1997 theatrical Batman movies—can't quite compete with that.", IAEOU Michael Gough 98 Brian Desmond Hurst 92 Michael Bourn 91 Linda Keough 79 Michael Mohun 72
IAEUO,Michael Musto,https://en.wikipedia.org/wiki/Michael_Musto,"Michael Musto NY columnist, <i>Village Voice</i>","<b>Niall Ferguson</b> has indeed passed Musto since the original list was made, certainly in gravitas and appearance of intellect. Musto's gossipy omnipresence, however, keeps him atop the slot.", IAEUO Niall Ferguson 99 Michael Dunlop 92 Michael Rudroff 91 Michael Musto 90 Michael Hudson 89
IAOEU,Pnina Rosenblum,https://en.wikipedia.org/wiki/Pnina_Rosenblum,Israeli model and former Knesset member,"We promote <b>Pnina Rosenblum</b>, over NHL goalie <b>Richard Brodeur</b> (no relation to Martin). His professional claim to fame was being the guy Wayne Gretzky scored on the most (29 goals). (Possibly the most any one person scored on any other one person?) But which definitely affords Ms. Rosenblum a win here.", IAOEU Crin Antonescu 80 Richard Brodeur 77 Ivan Kozhedub 75 Pnina Rosenblum 59 Ricardo Jesus 59
IAOUE,Dilma Rousseff,https://en.wikipedia.org/wiki/Dilma_Rousseff,Former Brazilian prime minister,"Regrettably, the female heads of state on our list have both come to ignominious ends, with Ms. Rousseff removed from office in 2016 by the Brazilian Senate.", IAOUE Dilma Rousseff 100 Brian Joubert 98 Ian Poulter 98 Mick Malthouse 95 Richard Bourke 91
IAUEO,Ivan Rutherford,https://www.playbill.com/person/ivan-rutherford-vault-0000054709,Actor; Jean Valjean in <i>Les Misérables</i>,"<b>Ivan Rutherford</b> has apparently played Jean Valjean in <i>Les Misérables</i> over 2,000 times. Why that doesn't get him a Wikipedia page we aren't sure, but perhaps he's been too busy avoiding Javert to make that page. Separately, we note the All-Name honoree <b>Irmgard Flugge-Lotz</b>.", IAUEO Brian Culbertson 85 Linda Hutcheon 80 Linda Tuero 80 Immanuel Bloch 65 Irmgard Flugge-Lotz 65
IAUOE,Ita Buttrose,https://en.wikipedia.org/wiki/Ita_Buttrose,Australian publisher and media executive,"<b>Ita Buttrose</b>—an Australian Helen Gurley & Tina Brown rolled into one—takes this slot over our previous best, NZ stock-car racer <b>Brian Musgrove</b>. Though we stay in the Down Under neighborhood.", IAUOE Ita Buttrose 88 Richard Usborne 81 Richard Dunthorne 61 Niklaus Troxler 50 Richaun Holmes 50 (NBA)
IEAOU,Michel Aoun,https://en.wikipedia.org/wiki/Michel_Aoun,Current (2020) Lebanese president,"Returned from exile since the writing of the original article, one of 2 Lebanese heads of state mentioned, along with also-ran <b>Émil(e) Lahoud</b>.", IEAOU Michel Aoun 98 Michel Sardou 94 Mike Harcourt 88 Lisle Blackbourn 78 Milne Barbour 64
IEAUO,Birger Magnusson,"https://en.wikipedia.org/wiki/Birger,_King_of_Sweden",13th century Swedish king,"Of the House of Bjelbo, yet another head of state.", IEAUO Gisela Dulko 95 (#1 doubles tennis) Michel Aumont 90 Mike Matusow 87 (poker) Bill Beaumont 82 (rugby) Micheal Spurlock 80
IEOAU,Wilhelm von Habsburg,https://www.telegraph.co.uk/culture/books/non_fictionreviews/3554371/All-Wilhelm-von-Habsburg-needed-was-a-kingdom.html,"20th century Austrian archduke, the ""Red Prince""","A bit of a sad case, if you consider itinerant royalty sad."," IEOAU Mike Mottau 72 (NHL) Gideon Blackburn 50 Bibelot Mansur 43 (Mexican actress) Sizwe Motaung 39 (soccer) Pinkerton R. Vaughn 34 Wilhelm von Habsburg, Philemon Van Trump (first climbed Mt Rainier)"
IEOUA,Mike Douglas,https://en.wikipedia.org/wiki/Mike_Douglas,"US talk-show host, 1961–1982","Tops <b>Dinesh D'Souza</b>, whose incoherent political philosophy disqualifies him from serious consideration in the all-important wordplay context. Actor <b>Diego Luna</b> will likely be a contender next time we update the list.", IEOUA Dinesh D'Souza 97 Mike Rotunda 97 Diego Luna 93 Mike Douglas 92 Mike Souchak 91
IEUAO,Sir Edmund Barton,https://en.wikipedia.org/wiki/Edmund_Barton,First Australian prime minister (1901–03),"We don't have much interesting to say about Australia's first prime minister, <b>Sir Edmund Barton</b>, but as an initiating head of state, he is a ""blue chip"" supervocalic, thus atop his slot.", IEUAO Tien Hung-mao 53 Shigeru Kan-no 45 Christer Gustafsson 27 White Buffalo 25 Winner Jumalon 25
IEUOA,Ime Udoka,https://en.wikipedia.org/wiki/Ime_Udoka,NBA player and coach,"<b>Ime Udoka</b> is our shortest <i>two-word</i> supervocalic. His unimpressive NBA career might be mooted if he is offered an NBA head coaching job. Stay tuned. Losing out is horse racing Hall of Famer, <b>Winbert F. Mulholland</b>, as well as <b>Dick Megugorac</b>, a hot rodder and member of the <b>Low Flyers Racing Club</b>.", IEUOA Ime Udoka 78 Winbert F. Mulholland 70 Siegmund von Pranckh 45 Wilhelm Rudolf Mann 43 Dick Megugorac 40
IOAEU,Dion Phaneuf,https://en.wikipedia.org/wiki/Dion_Phaneuf,Canadian NHL All-Star,"Longtime NHL defenseman <b>Dion Phaneuf</b> wins out over entomologist <b>Fritz Konrad Ernst Zumpt</b>, whom we mention for obvious reasons, and who at 21 letters is the longest (and quite possibly only) 4-word supervocalic name found in this exercise.", IOAEU Victor Hanescu 98 Dion Phaneuf 95 Christo van Rensburg 92 (tennis) Nicolaes Tulp 85 (Rembrandt subject) Rico Abreu 83
IOAUE,Phil Donahue,https://en.wikipedia.org/wiki/Phil_Donahue,Long-time US talk show host,The venerable and earnest <b>Phil Donahue</b> takes the slot over Hollywood Golden Age actor <b>Victor Mature</b>., IOAUE Victor Mature 99 Phil Donahue 94 Finola Hughes 93 Fiona Bruce 93 Christoph Graupner 92
IOEAU,Christopher Markus,https://en.wikipedia.org/wiki/Christopher_Markus_and_Stephen_McFeely,"US screenwriter, <i>Avengers: Endgame</i>","Having scrivened much of the Marvel Cinematic Universe, <b>Christopher Markus</b> is—at the time of this writing—the highest-grossing secreenwriter of all time (along with his writing partner Stephen McFeely). See, maybe you thought ""Who's that?"" but then there was the payoff."," IOEAU Nicole Krauss 90 Bill Morneau 89 Violet Vanbrugh 82 Jim Rondeau 79 Kishore Sahu 79 (Indian actor), Christopher Markus (highest-grossing screenwriter ever - Avengers: Endgame)"
IOEUA,Christopher Durang,https://en.wikipedia.org/wiki/Christopher_Durang,"US playwright, 1999 Obie for <i>Beyond Therapy</i>","Playwright Durang remains a favorite as his Beyond Therapy describes what you just mightl require after too much time on this website. He tops longest 3-word, and overall longest supervocalic name CHRISTOPH ERNST LUTHARDT at 22 letters.", IOEUA Kishore Kumar 100 Christopher Rungkat 98 Lino Ventura 95 Christopher Durang 89 Christopher Chulack 81 Christoph Ernst Luthart (22)
IOUAE,Rico Suave,https://en.wikipedia.org/wiki/Rico_Suave_(song),Title character in Gerardo's top-10 hit,"Yes, we know RICO SUAVE just means something like ""rich and smooth"", and yes we know that wasn't the shirtless guy's actual name - but you, me, and all of us thought it was, and given that the other option for this slot was an actual boy band singer - and a 3rd tier one at that... Rico Suave it is.", IOUAE Simon Buckmaster 91 Pirjo Muranen 79 Viktor Zubarev 71 Pirom Un-prasert 68 Simon Culhane 59
IOUEA,Minoru Genda,https://en.wikipedia.org/wiki/Minoru_Genda,"Japanese general, planned Pearl Harbor invasion",, IOUEA Fritz Houtermans 88 Minoru Genda 86 Ciro Guerra 83 Simon Muzenda 75 Victor Cuesta 74
IUAEO,Sigurd Anderson,https://en.wikipedia.org/wiki/Sigurd_Anderson,"Norwegian-born, South Dakota governor","In a tough slot, a legitimate US governorship can get you a win. So it is with old Sigurd Anderson, who came from the land of the ice and snow... to be governor of a place about as icy and snowy.", IUAEO Vinduja Menon 70 Sigurd Anderson 67 (SD Gov) Miggs Cuaderno 66 (Philippine Child Actor) Linus Arnesson 50 (AHL Hockey) Vishnu Raj Menon 37 (Mr. India)
IUAOE,Shin Upagote,https://en.wikipedia.org/wiki/Shin_Upagutta,Venerated Burmese arahant,"Similar to Saints in the Catholic tradition, arahants are venerated for specific purposes - in this case for protection from storms. Such beatification tops comers like Sir Hugh Walople, who was known for writing bildungsromane or novels of spiritual education."," IUAOE Shizuka Gozen 71 Dinusha Gomes 27 (Sri Lankan female Weightlifter) Vishnubhat Godse 27 (Indian Traveller 1800s) Niu Maosheng 12 (Chinese pol) Liu Bao-Cheng 7 Shin Upagote (Buddhist Storm God) Liskula Cohen (Model) Sir Stuart Rose (M&S CEO), Big Bubba Rogers (WWF), Sir Hugh Walpole"
